rule_id,category,label,precondition,consequent,participates_in_feedback,asserts_ground_truth_label
1,sensor grounding,PIR motion implies person location,?p a nsiot:Person . ?s a nsiot:PIRMotionSensor . ?s nsiot:isLocatedIn ?room . ?s nsiot:hasState nsiot:StateMotionDetected .,?p nsiot:isLocatedIn ?room,False,False
2,sensor grounding,Appliance interaction implies person location,?p a nsiot:Person . ?plug a nsiot:SmartAppliancePlug . ?plug nsiot:isLocatedIn ?room . ?plug nsiot:hasState nsiot:StateON .,?p nsiot:isLocatedIn ?room,False,False
3,validation,High-confidence Cook in Kitchen validation,?e a nsiot:Event . ?e nsiot:involvesPerson ?p . ?e nsiot:isBasedOnPrediction ?pred . ?pred nsiot:predictsActivity nsiot:MealPreparation . ?pred nsiot:hasConfidenceScore ?conf . FILTER(?conf  0.85) ?p nsiot:isLocatedIn ?room . ?room a nsiot:Kitchen .,?p nsiot:performsActivity nsiot:MealPreparation . ?e a nsiot:ValidatedEvent .,False,False
4,validation,High-confidence Eat in Kitchen validation,?e a nsiot:Event . ?e nsiot:involvesPerson ?p . ?e nsiot:isBasedOnPrediction ?pred . ?pred nsiot:predictsActivity nsiot:Eating . ?pred nsiot:hasConfidenceScore ?conf . FILTER(?conf  0.80) ?p nsiot:isLocatedIn ?room . ?room a nsiot:Kitchen .,?p nsiot:performsActivity nsiot:Eating . ?e a nsiot:ValidatedEvent .,False,False
5,AAL anomaly,Cook without kitchen appliance activation,?e a nsiot:Event . ?e nsiot:involvesPerson ?p . ?e nsiot:isBasedOnPrediction ?pred . ?pred nsiot:predictsActivity nsiot:MealPreparation . ?pred nsiot:hasConfidenceScore ?conf . FILTER(?conf  0.85) FILTER NOT EXISTS { ?plug a nsiot:SmartAppliancePlug . ?plug nsiot:isLocatedIn ?k . ?k a nsiot:Kitchen . ?plug nsiot:hasState nsiot:StateON .,?e a nsiot:CriticalAnomaly . ?e nsiot:hasAlertType nsiot:UnattendedAppliance .,False,False
6,AAL anomaly,"Unattended fire hazard (kitchen plug ON, person elsewhere)",?e a nsiot:Event . ?e nsiot:involvesPerson ?p . ?plug a nsiot:SmartAppliancePlug . ?plug nsiot:isLocatedIn ?k . ?k a nsiot:Kitchen . ?plug nsiot:hasState nsiot:StateON . ?p nsiot:isLocatedIn ?other . FILTER(?other != ?k),?e a nsiot:CriticalAnomaly . ?e nsiot:hasAlertType nsiot:UnattendedFireHazard .,False,False
7,AAL anomaly,Nocturnal kitchen activity,"?e a nsiot:Event . ?e nsiot:involvesPerson ?p . ?e nsiot:hasTimeContext ?ctx . ?ctx a nsiot:NightTimeContext . ?e nsiot:isBasedOnPrediction ?pred . ?pred nsiot:predictsActivity ?act . FILTER(?act IN (nsiot:MealPreparation, nsiot:Eating, nsiot:Housekeeping)) ?pred nsiot:hasConfidenceScore ?conf . FILTER(?conf  0.80)",?e a nsiot:BehavioralAnomaly . ?e nsiot:hasAlertType nsiot:NocturnalActivity .,False,False
8,feedback trigger,Spatial hallucination (kitchen activity without kitchen motion),"?e a nsiot:Event . ?e nsiot:involvesPerson ?p . ?e nsiot:isBasedOnPrediction ?pred . ?pred nsiot:predictsActivity ?act . FILTER(?act IN (nsiot:MealPreparation, nsiot:Eating, nsiot:Housekeeping)) ?pred nsiot:hasConfidenceScore ?conf . FILTER(?conf < 0.80) FILTER NOT EXISTS { ?ks a nsiot:PIRMotionSensor . ?ks nsiot:isLocatedIn ?k . ?k a nsiot:Kitchen . ?ks nsiot:hasState nsiot:StateMotionDetected .",?e a nsiot:FeedbackRequired . ?e nsiot:hasErrorType nsiot:FalsePositiveHallucination .,True,False
9,feedback trigger,"Contextual mismatch (Cook predicted, person not in Kitchen)",?e a nsiot:Event . ?e nsiot:involvesPerson ?p . ?e nsiot:isBasedOnPrediction ?pred . ?pred nsiot:predictsActivity nsiot:MealPreparation . ?pred nsiot:hasConfidenceScore ?conf . FILTER(?conf < 0.85) ?p nsiot:isLocatedIn ?room . FILTER NOT EXISTS { ?p nsiot:isLocatedIn ?k . ?k a nsiot:Kitchen .,?e a nsiot:FeedbackRequired . ?e nsiot:hasErrorType nsiot:ContextualMismatch .,True,False
10,feedback trigger,Low-margin AND low-confidence top-2 disagreement,?e a nsiot:Event . ?e nsiot:isBasedOnPrediction ?pred1 . ?pred1 nsiot:isAlternativePrediction false . ?pred1 nsiot:predictsActivity ?act1 . ?pred1 nsiot:hasConfidenceScore ?conf1 . ?e nsiot:isBasedOnPrediction ?pred2 . ?pred2 nsiot:isAlternativePrediction true . ?pred2 nsiot:predictsActivity ?act2 . ?pred2 nsiot:hasConfidenceScore ?conf2 . FILTER(?act1 != ?act2) FILTER((?conf1 - ?conf2) < 0.10) FILTER(?conf1 < 0.75),?e a nsiot:FeedbackRequired . ?e nsiot:hasErrorType nsiot:MutuallyExclusiveActivities .,True,False
11,feedback trigger,Unsupported claim (low conf + no sensor evidence),?e a nsiot:Event . ?e nsiot:involvesPerson ?p . ?e nsiot:isBasedOnPrediction ?pred . ?pred nsiot:hasConfidenceScore ?conf . FILTER(?conf < 0.75) FILTER NOT EXISTS { ?p nsiot:isLocatedIn ?_room .,?e a nsiot:FeedbackRequired . ?e nsiot:hasErrorType nsiot:UnsupportedClaim .,True,False
